1.0," ",1.0,1.0,1.0,1.0,1.0
2.0," ",2.0,1.0,2.0,2.0,1.0
5.0," ",5.0,1.0,5.0,5.0,1.0
9.0," ",9.0,1.0,9.0,9.0,1.0
12.0," ",12.0,1.0,12.0,12.0,1.0
13.0," ",13.0,1.0,13.0,13.0,1.0
14.0," ",14.0,1.0,14.0,14.0,1.0
16.0," ",16.0,1.0,16.0,16.0,1.0
17.0," ",17.0,1.0,17.0,17.0,1.0
18.0," ",18.0,1.0,18.0,18.0,1.0
19.0," ",19.0,1.0,19.0,19.0,1.0
20.0," ",20.0,1.0,20.0,20.0,1.0
22.0," ",22.0,1.0,22.0,22.0,1.0
23.0," ",23.0,1.0,23.0,23.0,1.0
26.0," ",26.0,1.0,26.0,26.0,1.0
28.0," ",28.0,1.0,28.0,28.0,1.0
31.0," ",31.0,1.0,31.0,31.0,1.0
33.0," ",33.0,1.0,33.0,33.0,1.0
35.0," ",35.0,1.0,35.0,35.0,1.0
39.0," ",39.0,1.0,39.0,39.0,1.0
41.0," ",41.0,1.0,41.0,41.0,1.0
42.0," ",42.0,1.0,42.0,42.0,1.0
44.0," ",44.0,1.0,44.0,44.0,1.0
46.0," ",46.0,1.0,46.0,46.0,1.0
47.0," ",47.0,1.0,47.0,47.0,1.0
49.0," ",49.0,1.0,49.0,49.0,1.0
50.0," ",50.0,1.0,50.0,50.0,1.0
51.0," ",51.0,1.0,51.0,51.0,1.0
52.0," ",52.0,1.0,52.0,52.0,1.0
53.0," ",53.0,1.0,53.0,53.0,1.0
54.0," ",54.0,1.0,54.0,54.0,1.0
55.0," ",55.0,1.0,55.0,55.0,1.0
56.0," ",56.0,1.0,56.0,56.0,1.0
58.0," ",58.0,1.0,58.0,58.0,1.0
59.0," ",59.0,1.0,59.0,59.0,1.0
62.0," ",62.0,1.0,62.0,62.0,1.0
64.0," ",64.0,1.0,64.0,64.0,1.0
66.0," ",66.0,1.0,66.0,66.0,1.0
69.0," ",69.0,1.0,69.0,69.0,1.0
70.0," ",70.0,1.0,70.0,70.0,1.0
72.0," ",72.0,1.0,72.0,72.0,1.0
73.0," ",73.0,1.0,73.0,73.0,1.0
74.0," ",74.0,1.0,74.0,74.0,1.0
76.0," ",76.0,1.0,76.0,76.0,1.0
80.0," ",80.0,1.0,80.0,80.0,1.0
83.0," ",83.0,1.0,83.0,83.0,1.0
84.0," ",84.0,1.0,84.0,84.0,1.0
