40.0,63,62,27,26,26,-1,-1,-1,-1,.,.,0,-1,22,-1,25
40.0,63,62,66,64,64,-1,-1,-1,-1,.,.,0,23,23,19,19
40.0,63,62,36,35,35,-1,-1,-1,-1,.,.,0,22,22,25,25
40.0,63,62,67,64,64,-1,-1,-1,-1,.,.,0,23,23,19,19
40.0,63,62,30,26,26,-1,-1,-1,-1,.,.,0,22,20,25,24
40.0,63,62,68,64,64,-1,-1,-1,-1,.,.,0,22,22,25,25
40.0,63,62,38,35,35,-1,-1,-1,-1,.,.,0,20,20,24,24
40.0,63,62,69,64,64,-1,-1,-1,-1,.,.,0,22,22,25,25
40.0,63,62,32,26,26,-1,-1,-1,-1,.,.,0,20,-1,24,-1
40.0,63,62,34,33,33,-1,-1,-1,-1,.,.,0,-1,18,-1,21
40.0,63,62,29,26,26,-1,-1,-1,-1,.,.,0,18,18,21,21
40.0,63,62,37,35,35,-1,-1,-1,-1,.,.,0,18,18,21,21
40.0,63,62,31,26,26,-1,-1,-1,-1,.,.,0,18,18,21,21
40.0,63,62,39,35,35,-1,-1,-1,-1,.,.,0,18,18,21,21
40.0,63,62,65,64,64,-1,-1,-1,-1,.,.,0,18,18,21,21
40.0,63,62,28,26,26,-1,-1,-1,-1,.,.,0,18,-1,21,-1
40.0,61,60,41,26,26,27,1,66,14,3.0,864.0,0,-1,-1,-1,-1
40.0,61,60,49,64,64,66,14,36,8,3.0,864.0,0,-1,-1,-1,-1
40.0,61,60,54,35,35,36,8,67,15,3.0,864.0,0,-1,-1,-1,-1
40.0,61,60,55,64,64,67,15,30,4,3.0,864.0,0,-1,-1,-1,-1
40.0,61,60,56,26,26,30,4,68,16,2.0,576.0,0,-1,-1,-1,-1
40.0,61,60,57,64,64,68,16,38,10,2.0,576.0,0,-1,-1,-1,-1
40.0,61,60,58,35,35,38,10,69,17,2.0,576.0,0,-1,-1,-1,-1
40.0,61,60,59,64,64,69,17,32,6,2.0,576.0,0,-1,-1,-1,-1
40.0,61,60,42,33,33,34,7,66,14,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,43,64,64,66,14,29,3,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,44,26,26,29,3,67,15,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,45,64,64,67,15,37,9,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,46,35,35,37,9,68,16,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,47,64,64,68,16,31,5,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,48,26,26,31,5,69,17,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,50,64,64,69,17,39,11,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,51,35,35,39,11,65,13,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,52,64,64,65,13,28,2,1.0,288.0,0,-1,-1,-1,-1
40.0,61,60,53,40,26,30,4,0,12,1.0,288.0,1,-1,-1,-1,-1
